,sig_pos,sig_vel,sig_GPS,Ground Truth,GPS measurement,IMU measurement,BS estimates,IMU estimates,GPS estimates,no of simulations
68,0.02,0.1,0.08,0.27,0.27,0.26,0.21,0.235,0.24,200
69,0.02,0.1,0.16,0.335,0.33,0.33,0.205,0.28,0.265,200
70,0.02,0.2,0.01,0.285,0.285,0.27,0.23,0.245,0.275,200
71,0.02,0.2,0.02,0.27,0.28,0.285,0.18,0.235,0.275,200
72,0.02,0.2,0.04,0.25,0.25,0.24,0.2,0.205,0.21,200
73,0.02,0.2,0.08,0.285,0.28,0.27,0.235,0.25,0.25,200
74,0.02,0.2,0.16,0.22,0.18,0.185,0.155,0.17,0.15,200
75,0.02,0.4,0.01,0.17,0.17,0.145,0.12,0.135,0.155,200
76,0.02,0.4,0.02,0.11,0.11,0.125,0.095,0.09,0.11,200
77,0.02,0.4,0.04,0.2,0.195,0.18,0.155,0.19,0.2,200
78,0.02,0.4,0.08,0.14,0.125,0.125,0.1,0.12,0.15,200
79,0.02,0.4,0.16,0.19,0.17,0.18,0.15,0.165,0.145,200
80,0.02,0.8,0.01,0.075,0.07,0.06,0.055,0.06,0.07,200
81,0.02,0.8,0.02,0.06,0.06,0.065,0.055,0.055,0.06,200
82,0.02,0.8,0.04,0.07,0.08,0.08,0.065,0.065,0.07,200
83,0.02,0.8,0.08,0.04,0.04,0.05,0.025,0.025,0.035,200
84,0.02,0.8,0.16,0.1,0.095,0.085,0.075,0.095,0.08,200
85,0.02,1.6,0.01,0.02,0.02,0.025,0.015,0.02,0.025,200
86,0.02,1.6,0.02,0.03,0.025,0.02,0.015,0.02,0.02,200
87,0.02,1.6,0.04,0.035,0.03,0.035,0.03,0.04,0.035,200
88,0.02,1.6,0.08,0.03,0.04,0.035,0.03,0.03,0.03,200
89,0.02,1.6,0.16,0.02,0.01,0.025,0.015,0.015,0.01,200
90,0.04,0.0,0.01,0.29,0.29,0.305,0.115,0.18,0.285,200
91,0.04,0.0,0.02,0.34,0.335,0.345,0.2,0.225,0.3,200
92,0.04,0.0,0.04,0.3,0.31,0.295,0.135,0.17,0.245,200
93,0.04,0.0,0.08,0.265,0.265,0.29,0.155,0.165,0.2,200
94,0.04,0.0,0.16,0.31,0.365,0.31,0.15,0.2,0.175,200
95,0.04,0.1,0.01,0.255,0.26,0.25,0.195,0.215,0.245,200
96,0.04,0.1,0.02,0.24,0.25,0.25,0.175,0.17,0.225,200
97,0.04,0.1,0.04,0.275,0.27,0.315,0.19,0.22,0.225,200
98,0.04,0.1,0.08,0.29,0.285,0.3,0.23,0.26,0.255,200
99,0.04,0.1,0.16,0.32,0.31,0.33,0.215,0.255,0.225,200
100,0.04,0.2,0.01,0.31,0.31,0.3,0.23,0.275,0.305,200
101,0.04,0.2,0.02,0.265,0.255,0.255,0.185,0.225,0.24,200
102,0.04,0.2,0.04,0.185,0.19,0.2,0.14,0.155,0.16,200
103,0.04,0.2,0.08,0.235,0.245,0.235,0.195,0.215,0.22,200
104,0.04,0.2,0.16,0.31,0.26,0.295,0.27,0.285,0.255,200
105,0.04,0.4,0.01,0.18,0.18,0.155,0.175,0.165,0.18,200
106,0.04,0.4,0.02,0.14,0.135,0.16,0.105,0.125,0.14,200
107,0.04,0.4,0.04,0.165,0.155,0.16,0.135,0.14,0.15,200
108,0.04,0.4,0.08,0.14,0.125,0.115,0.1,0.115,0.115,200
109,0.04,0.4,0.16,0.155,0.155,0.16,0.125,0.14,0.115,200
110,0.04,0.8,0.01,0.05,0.05,0.05,0.035,0.04,0.035,200
111,0.04,0.8,0.02,0.055,0.045,0.045,0.035,0.035,0.04,200
112,0.04,0.8,0.04,0.05,0.055,0.045,0.04,0.04,0.045,200
113,0.04,0.8,0.08,0.08,0.07,0.06,0.045,0.065,0.06,200
114,0.04,0.8,0.16,0.08,0.065,0.08,0.055,0.065,0.075,200
115,0.04,1.6,0.01,0.015,0.01,0.005,0.005,0.01,0.005,200
116,0.04,1.6,0.02,0.02,0.02,0.02,0.015,0.025,0.02,200
117,0.04,1.6,0.04,0.02,0.025,0.02,0.01,0.02,0.02,200
118,0.04,1.6,0.08,0.005,0.005,0.005,0.005,0.005,0.01,200
119,0.04,1.6,0.16,0.025,0.01,0.015,0.005,0.02,0.005,200
120,0.08,0.0,0.01,0.29,0.29,0.31,0.185,0.21,0.29,200
121,0.08,0.0,0.02,0.25,0.245,0.245,0.18,0.19,0.235,200
122,0.08,0.0,0.04,0.26,0.265,0.245,0.125,0.145,0.195,200
123,0.08,0.0,0.08,0.32,0.315,0.31,0.24,0.245,0.26,200
124,0.08,0.0,0.16,0.33,0.325,0.34,0.18,0.215,0.21,200
125,0.08,0.1,0.01,0.27,0.27,0.25,0.18,0.215,0.25,200
126,0.08,0.1,0.02,0.25,0.25,0.235,0.18,0.19,0.24,200
127,0.08,0.1,0.04,0.23,0.225,0.215,0.165,0.195,0.215,200
128,0.08,0.1,0.08,0.325,0.32,0.325,0.245,0.27,0.275,200
129,0.08,0.1,0.16,0.265,0.265,0.27,0.21,0.225,0.235,200
130,0.08,0.2,0.01,0.235,0.24,0.21,0.185,0.2,0.225,200
131,0.08,0.2,0.02,0.27,0.27,0.275,0.205,0.215,0.285,200
132,0.08,0.2,0.04,0.23,0.21,0.235,0.17,0.18,0.215,200
133,0.08,0.2,0.08,0.215,0.2,0.215,0.125,0.175,0.165,200
134,0.08,0.2,0.16,0.28,0.245,0.275,0.18,0.235,0.2,200
135,0.08,0.4,0.01,0.135,0.145,0.12,0.09,0.09,0.14,200
136,0.08,0.4,0.02,0.195,0.185,0.17,0.125,0.165,0.17,200
137,0.08,0.4,0.04,0.155,0.15,0.14,0.1,0.11,0.13,200
138,0.08,0.4,0.08,0.12,0.12,0.135,0.095,0.12,0.1,200
139,0.08,0.4,0.16,0.13,0.125,0.13,0.11,0.12,0.125,200
140,0.08,0.8,0.01,0.05,0.045,0.05,0.025,0.04,0.05,200
141,0.08,0.8,0.02,0.075,0.08,0.08,0.04,0.05,0.07,200
142,0.08,0.8,0.04,0.07,0.075,0.035,0.035,0.04,0.055,200
143,0.08,0.8,0.08,0.04,0.035,0.045,0.025,0.03,0.04,200
144,0.08,0.8,0.16,0.065,0.05,0.05,0.055,0.06,0.045,200
145,0.08,1.6,0.01,0.025,0.025,0.035,0.025,0.025,0.03,200
146,0.08,1.6,0.02,0.02,0.025,0.005,0.005,0.01,0.01,200
147,0.08,1.6,0.04,0.01,0.01,0.015,0.01,0.005,0.015,200
148,0.08,1.6,0.08,0.005,0.005,0.01,0.005,0.005,0.01,200
149,0.08,1.6,0.16,0.015,0.01,0.015,0.005,0.01,0.015,200
150,0.16,0.0,0.01,0.19,0.19,0.19,0.17,0.165,0.2,200
151,0.16,0.0,0.02,0.21,0.23,0.22,0.115,0.16,0.19,200
152,0.16,0.0,0.04,0.245,0.235,0.225,0.12,0.2,0.21,200
153,0.16,0.0,0.08,0.245,0.26,0.225,0.165,0.17,0.21,200
154,0.16,0.0,0.16,0.285,0.25,0.24,0.15,0.21,0.17,200
155,0.16,0.1,0.01,0.25,0.245,0.25,0.165,0.19,0.23,200
156,0.16,0.1,0.02,0.18,0.165,0.15,0.115,0.12,0.15,200
157,0.16,0.1,0.04,0.205,0.19,0.21,0.115,0.15,0.145,200
158,0.16,0.1,0.08,0.26,0.275,0.235,0.165,0.18,0.2,200
159,0.16,0.1,0.16,0.255,0.235,0.24,0.17,0.215,0.195,200
160,0.16,0.2,0.01,0.18,0.185,0.19,0.11,0.15,0.175,200
161,0.16,0.2,0.02,0.165,0.155,0.17,0.1,0.145,0.16,200
162,0.16,0.2,0.04,0.235,0.24,0.22,0.18,0.185,0.24,200
163,0.16,0.2,0.08,0.165,0.14,0.15,0.065,0.105,0.075,200
164,0.16,0.2,0.16,0.21,0.205,0.2,0.135,0.175,0.155,200
165,0.16,0.4,0.01,0.17,0.185,0.165,0.125,0.14,0.16,200
166,0.16,0.4,0.02,0.14,0.145,0.125,0.105,0.11,0.16,200
167,0.16,0.4,0.04,0.11,0.125,0.115,0.055,0.075,0.115,200
168,0.16,0.4,0.08,0.15,0.165,0.15,0.1,0.105,0.105,200
169,0.16,0.4,0.16,0.09,0.105,0.085,0.07,0.125,0.085,200
170,0.16,0.8,0.01,0.04,0.04,0.05,0.035,0.05,0.04,200
171,0.16,0.8,0.02,0.06,0.06,0.06,0.06,0.06,0.08,200
172,0.16,0.8,0.04,0.07,0.075,0.05,0.025,0.05,0.045,200
173,0.16,0.8,0.08,0.04,0.035,0.045,0.035,0.02,0.025,200
174,0.16,0.8,0.16,0.035,0.03,0.045,0.04,0.03,0.035,200
175,0.16,1.6,0.01,0.025,0.025,0.025,0.02,0.025,0.025,200
176,0.16,1.6,0.02,0.015,0.015,0.02,0.0,0.0,0.005,200
177,0.16,1.6,0.04,0.015,0.02,0.02,0.01,0.01,0.015,200
178,0.16,1.6,0.08,0.025,0.02,0.02,0.015,0.015,0.015,200
179,0.16,1.6,0.16,0.01,0.015,0.01,0.005,0.005,0.005,200
